RTO Loc,RTO Code
Quepem,GA-09
Canacona,GA-10
Pernem,GA-11
Pernem,GA-12
,
Ambala,HR-01
Yamuna Nagar,HR-02
Panchkula,HR-03
Karnal,HR-05
Panipat,HR-06
Kurukshetra,HR-07
Kaithal,HR-08
Guhla,HR-09
Sonepat,HR-10
Gohana,HR-11
Rohtak,HR-12
Bahadurgarh,HR-13
Jhajjar,HR-14
Meham,HR-15
Bhiwani,HR-16
Siwani,HR-17
Loharu,HR-18
Charkhi Dadri,HR-19
Hisar,HR-20
Hansi,HR-21
Fatehabad,HR-22
Tohana,HR-23
Sirsa,HR-24
Dabwali,HR-25
Gurgaon,HR-26
Nuh,HR-27
Ferozepur Jhirka,HR-28
Ballabgarh,HR-29
Palwal,HR-30
Jind,HR-31
Narwana,HR-32
Safidon,HR-33
Mohindergarh,HR-34
Narnaul,HR-35
Rewari,HR-36
Ambala,HR-37
Faridabad,HR-38
Hisar,HR-39
Assandh,HR-40
Pehowa,HR-41
Ganaur,HR-42
Kosli,HR-43
Ellenabad,HR-44
Karnal,HR-45
Rohtak,HR-46
Rewari,HR-47
Tosham,HR-48
Kalka,HR-49
Hodal,HR-50
Faridabad,HR-51
Hatin,HR-52
Adampur,HR-53
"Ambala, Barara",HR-54
Gurgaon,HR-55
Jind,HR-56
Sirsa,HR-57
"Jagadhari, Yamuna Nagar",HR-58
Ratia,HR-59
Samalkha,HR-60
Bhiwani,HR-61
Fatehabad,HR-62
Jhajjar,HR-63
Kaithal,HR-64
Kurukshetra,HR-65
Narnaul,HR-66
Panipat,HR-67
Panchkula,HR-68
Sonipat,HR-69
Chandigarh,HR-70
Bilaspur,HR-71
Gurgaon,HR-72
Palwal,HR-73
Mewat,HR-74
Indri,HR-75
Pataudi,HR-76
Beri,HR-77
Sahabad,HR-78
Kharkhoda,HR-79
Barwala,HR-80
Bawal,HR-81
Haryana,HR-99
,
Srinagar,JK-01
Jammu,JK-02
Anantnag,JK-03
Budgam,JK-04
Baramulla,JK-05
Doda,JK-06
Kargil,JK-07
Kathua,JK-08
Kupwara,JK-09
Leh,JK-10
Rajouri,JK-11
Poonch,JK-12
Pulwama,JK-13
Udhampur,JK-14
Bandipora,JK-15
Ganderbal,JK-16
Kishtwar,JK-17
Kulgam,JK-18
Ramban,JK-19
Reasi,JK-20
Samba,JK-21
Shopian,JK-22
,
Koramangala,KA-01
"Rajajinagar, Bangalore",KA-02
"Indiranagar, Bangalore",KA-03
"Yeshwanthpur, Bangalore",KA-04
"Jayanagar, Bangalore",KA-05
Tumkur,KA-06
Kolar,KA-07
Kolar Gold Fields,KA-08
Mysore,KA-09
Chamrajnagar,KA-10
Mandya,KA-11
Madikeri,KA-12
Hassan,KA-13
Shimoga,KA-14
Sagar,KA-15
Chitradurga,KA-16
Davangere,KA-17
Chickmagalur,KA-18
Mangalore,KA-19
Udupi,KA-20
Puttur,KA-21
Belgaum,KA-22
Chikkodi,KA-23
Bailhongal,KA-24
Dharwad,KA-25
Gadag,KA-26
Haveri,KA-27
Vijapura,KA-28
Bagalkot,KA-29
Karwar,KA-30
Sirsi,KA-31
Kalaburagi,KA-32
Yadgir,KA-33
Bellary,KA-34
Hospet,KA-35
Raichur,KA-36
Koppal,KA-37
Bidar,KA-38
Bhalki,KA-39
Chikkaballapur,KA-40
Kengeri,KA-41
"Ramanagar, Bangalore",KA-42
"Devanahalli, Bangalore",KA-43
"Tiptur, Tumkur district",KA-44
"Hunsur, Mysore District",KA-45
"Sakleshpur, Hassan District",KA-46
"Honnavar, Uttarakannada District",KA-47
"Jamkhandi, Bagalkote District",KA-48
"Gokak, Belguam District",KA-49
"Yelhanka,�Bangalore",KA-50
"Banneraghatta, Bangalore",KA-51
"Nelamangala, Bangalore District",KA-52
"K.R.Puram, Bangalore",KA-53
